GOODS_NAME	GOODS_URL	GOODS_SECTION_ID	GOODS_PV	GOODS_CONDITION	GOODS_ANTY_CONDITION	GOODS_RECOMMENDATION	GOODS_PROPERTY	GOODS_COMPOSITION	GOODS_PACKING	GOODS_WEIGHT	PROVIDER_SHOW_NAME	CATALOG_SECTION_ID	CATALOG_NAME	CATEGORY
Крем-маска косметическая для лица и тела «ЧагаПлюс», 110 г	https://argo.pro/catalog/dlya-litsa-shei-i-dekolte/2608766/	150	22.0	Способ применения:  <br /><br /><br />- в виде крема: ежедневное применение средства в качестве дневного и ночного крема;  <br />- в виде маски: 1–2 раза в неделю нанести маску на предварительно очищенную кожу лица (избегая области вокруг глаз) или тела, слоем не более 3 мм, оставить на 15 минут, затем средство смыть теплой водой при помощи влажной макияжной губки.  <br />Для более выраженного эффекта рекомендуем раз в неделю с целью профилактики или курсом не менее 10 дней (снятие отёков, воспалений) использовать обогащенную версию продукта; в комплект входит пакетик с подготовленным порошком чаги (пакет рассчитан на полный объём маски). Отложить требуемое на одно применение количество готовой маски, всыпать необходимое количество сухой фракции чаги, перемешать до однородности, через 5 минут нанести на участки тела (места отеков, воспалений) толстым слоем и оставить на 15–20 минут (можно накрыть целлофановым пакетиком), затем смыть теплой водой.	Индивидуальная непереносимость компонентов.		Повышает упругость, снимает отечность, укрепляет иммунитет кожи, защищает от негативного воздействия окружающей среды, благодаря высокому содержанию антиоксидантных компонентов.  <br /> Полезные свойства гриба чага известны уже сотни веков. Настои с чагой использовались нашими предками не только для приема внутрь для оптимизации защитных сил организма, но и как средство для улучшения качества, обновления и защиты кожи.  <br />Экстракт чаги способствует восстановлению кожных покровов за счет своего уникального химического состава. Грибные полисахариды бета-глюканы обладают высокой антиоксидантной активностью. Под воздействием бета-глюканов и других биологически активных веществ чаги иммунная система выходит из состояния шока и начинает активно работать. Также бета-глюканы улучшают микроциркуляцию и помогают наилучшему проникновению активных компонентов крем-маски в глубокие слои кожи. Они же отвечают за регенерацию кожи и оказывают восстановительное воздействие на кожный покров. Бетулин – знаменитый тритерпеноид, еще один ценный компонент чаги, его основная задача в составе нашей крем-маски – защита кожи от различных факторов: перепадов температуры, ультрафиолетовых лучей, сухого кондиционированного воздуха. Свойства масляных компонентов нашего продукта позволяют создать эмульсию для оптимального контакта с липидами кожи, например, в масле конопли до 90% ненасыщенных жирных кислот, рекордно-высокое количество олеиновой и стеариновой кислоты, а также весь набор 3-6-9 Омеги. Чаще других коже не хватает именно незаменимых жирных кислот, они являются основой для клеток рогового слоя эпидермиса и входят в состав природной мантии дермы.  <br />В масле зародышей пшеницы огромное количество природного витамина Е, что также увеличивает антиоксидантный потенциал данной крем-маски, предупреждает старение, питает, регенерирует и восстанавливает кожу.  <br />Гиалуроновая кислота обеспечивает омолаживающее и антивозрастное действие, подтягивает и увлажняет кожу, уменьшает выраженность морщин, заломов.  <br />Эфирное масло герани – одно из самых эффективных в борьбе со старением кожи, обладающее тонким приятным ароматом.	Вода подготовленная с использованием цеолита, экстракт чаги, масло конопляное, соевое, масло зародышей пшеницы, эмульсионный воск, цетилстеариловый спирт, карбамид, полиэтиленгликоль ПЭГ-1500, гиалуронат натрия, консервант RevaPro Mer, эфирное масло герани.	110 г	170	Новь	150	Для лица, шеи и декольте	Системы и направления/Продукты для красоты/Косметика по уходу за кожей/Для лица, шеи и декольте/
Набор пробников, 30 шт	https://argo.pro/catalog/dlya-litsa-shei-i-dekolte/2618029/	150	10.0		Индивидуальная непереносимость компонентов.		- Готовый набор для базового ухода за кожей лица, рук и волосами. Попробовав все средства, вы узнаете, какие из них максимально сочетаются с типом вашей кожи, поддерживают вашу молодость, красоту и уверенность в себе. <br />-  Помощь в выборе программы ежедневного и интенсивного ухода. • Отличный подарок родным, друзьям и знакомым.  <br />- Инструмент маркетинга. С помощью приятного и полезного презента вы привлечете к себе внимание людей. Набор поможет привлечь в свой бизнес новичков, а информационные центры могут использовать его в проведении акций и других мотивирующих мероприятий.	В составе набора пробники гелей, кремов, сухих масок и концентратов для волос линии PriBio Antiage ( Биогель 3 шт., крем Антиоксидант 4 шт., крем Основной уход 4 шт., крем Вокруг глаз 2 шт., крем Пептиды молодости 2 шт., крем для рук 2 шт., гель гиалурон 3 шт., маска Спирулина 2 шт., концентрат от перхоти 2 шт., концентрат для роста волос 3 шт., концентрат для волос Гиалурон 3 шт.). Состав указан на этикетке каждого пробника. Перед первым применением сделайте кожную пробу.	30 шт. пробников в полиэтиленовом пакете с этикеткой.	240	Марианна	150	Для лица, шеи и декольте	Системы и направления/Продукты для красоты/Косметика по уходу за кожей/Для лица, шеи и декольте/
Крем-дезодорант для ног «Степ», 50 мл	https://argo.pro/catalog/dlya-nog/7125/	151	10.0	• повышенная потливость и неприятный запах стоп; <br />• трещины, ранки и потёртости; <br />• зуд и шелушение кожи стоп; <br />• чувство тяжести и онемения в ногах; <br />• грибковая инфекция (эпидермофития) кожи стоп.		При потливости нанесите крем на чистую кожу стоп утром и по необходимости вечером. Для заживления ранок и трещин крем наносите на поражённые участки кожи 2 раза в день. Для профилактики грибковой инфекции до и после посещения бани, бассейна, и. т. п. наносите крем на чистую сухую кожу. При микозе стоп крем втирайте в поражённые участки 2 раза в день. Курс 2-3 недели.	• нормализует функцию потовых желез;<br />• обладает дезодорирующим эффектом; <br />• устраняет зуд и шелушение стоп; <br />• заживляет ранки, смягчает кожу; <br />• обладает противовоспалительным действием; <br />• проявляет выраженные противогрибковые свойства .	Вода дистиллированная, глицерин, воск эмульсионный, цинка оксид, моностеарат глицерина, масло пихты сибирской, масло кедрового ореха, аристофлекс, метилпарабен, масло шалфея, СО2 – экстракты пихты сибирской, эвкалипта, коры дуба, пропилпарабен.	50 мл	75	Дон	151	Для ног	Системы и направления/Продукты для красоты/Косметика по уходу за кожей/Для ног/
Эмульсия «Рициниол Очищающий», 30 мл	https://argo.pro/catalog/dlya-nog/7558/	151	7.0	Применение: грубую кожу смазывать на ночь после легкого распаривания. При врастании ногтя закрепить в проблемном месте тампон, пропитанный эмульсией. Менять 2–3 раза в день. Перед применением взбалтывать.	Индивидуальная непереносимость компонентов.	"- Регулярный уход за огрубевшими участками кожи.  Вечером, после душа нанесите ""Рициниол-О"" тонким слоем на нужный участок. Ороговевший слой легко удалится при последующей водной процедуре. <br /><br /><br />- Для предупреждения огрубения кожи ежедневно втирайте в эти места по нескольку капель ""Рициниола-О"". <br /><br />- Удаление трещин пяточной области, мозолей, натоптышей. Раз в неделю делайте компресс с ""Рициниолом-О"". Для этого после теплой ножной ванны нанесите эмульсию на проблемную зону, покройте полиэтиленовой пленкой, наденьте плотные носки. Оставьте на 3-5 часов. Затем пропарьте ноги и удалите размягченные участки пемзой. Вытрите стопы насухо и смажьте их тонким слоем ""Рициниола-О"". Прогресс налицо уже после первой процедуры. <br /><br />- Экспресс-метод поможет быстро снять усталость стоп и привести в порядок кожу. Подержите ноги в прохладной ванне, тщательно разотрите полотенцем и нанесите немного ""Рициниола-О"". Легкость ног Вам обеспечена. <br /><br />- При врастающем ногте помогут аппликации (ватный или марлевый тампон, пропитанный ""Рициниолом-О"") на проблемный участок. Делайте их ежедневно, в течение 2-14 дней. Регулярный уход за стопами с ""Рициниолом-О"" предотвращает врастание ногтя."	Бережно удаляет грубую кожу, делает стопы и локти мягкими. Устраняет трещины, натоптыши и мозоли. Препятствует врастанию ногтя. Защищает от грибка на ногах.  	Биологически активные жирные кислоты касторового масла; очищенная вода; лецитин; гликолевая, молочная кислоты; экстракт чистотела; СО2 экстракт монарда; эфирные масла пихты, лаванды; витамины Е, С (аскорбил пальмитат).	30 мл	55	Марианна	151	Для ног	Системы и направления/Продукты для красоты/Косметика по уходу за кожей/Для ног/
Крем для рук и ног с мочевиной «Компромисс», 75 мл	https://argo.pro/catalog/dlya-nog/1910498/	151	10.0		Индивидуальная непереносимость ингредиентов. Избегайте попадания в глаза.	Ежедневно наносить небольшое количество крема на кожу рук, локтей, ног (стоп), а также на кутикулу ногтей до полного впитывания. Для усиления эффекта использовать крем после водных процедур. Наденьте хлопчатобумажные носки или перчатки и оставьте на ночь для пролонгированного действия.	Благодаря содержанию мочевины в сочетании с натуральными компонентами (экстракт календулы, эфирные масла лимона, шалфея, чайного дерева), крем смягчает и увлажняет загрубевшую кожу рук, локтей, пяток, а также кутикулу ногтей. Избавляет от зуда и неприятного запаха. Придает ровный цвет и гладкость кожным покровам. При регулярном применении является эффективным профилактическим средством от растрескивания кожи, мозолей и натоптышей.	Вода, мочевина, монтанов, глицерин, каприл метикон, экстракт цветков календулы лекарственной, сквален, аристофлекс, монтанокс, гермабен, аллантоин, эфирное масло лимона, эфирное масло шалфея, эфирное масло чайного дерева.	75 мл.	95	Биолит	151	Для ног	Системы и направления/Продукты для красоты/Косметика по уходу за кожей/Для ног/
Эмульсия «Рициниол Кутикула», 15 мл	https://argo.pro/catalog/dlya-nogtey/7149/	152	5.0		Индивидуальная непереносимость компонентов.	На околоногтевые участки кутикулы нанести средство, удаляющее кутикулу, на 10-15 минут, затем отодвинуть кожицу по краю ногтя маникюрной лопаточкой. Ногти можно потереть жесткой щеткой для рук. Затем руки вымыть и протереть салфеткой. Использовать ежедневно или 2 раза в неделю! Действие Рициниола-К наступает через несколько применений. В дальнейшем, при регулярном использовании средства, кутикула будет оставаться тонкой, а пальцы – аккуратными, при минимальных хлопотах. Удобно использовать для ухода за кутикулой пальцев ног.	Эмульсия постепенно растворяет кутикулу, препятствует травмированию околоногтевых участков. Предохраняет ногти и околоногтевые области пальцев от заусениц, воспалений, грибковых поражений.	Биологически активные жирные кислоты касторового масла; очищенная вода; лецитин; СО2 экстракт монарда; гликолевая, молочная кислоты; витамины Е, С (аскорбил пальмитат); протеины шелка; эфирные масла пихты, лаванды.	15 мл	25	Марианна	152	Для ногтей	Системы и направления/Продукты для красоты/Косметика по уходу за кожей/Для ногтей/
Эмульсия «Рициниол Ногти», 15 мл	https://argo.pro/catalog/dlya-nogtey/8035/	152	5.0			Тампоном, смоченным Рициниолом­-Н, смазать все ногтевые пластинки. Затем тем же тампоном последовательно тщательно втереть эмульсию в каждый ноготь. При этом происходит насыщение ногтевой пластинки необходимыми питательными веществами; ноготь приобретает естественный блеск и силу, отбеливается и укрепляется. <br />Вам настолько понравится вид Ваших ногтей, что, возможно, захочется некоторое время не применять лак!	Рициниол­-Н питает и укрепляет ногтевую пластинку, восстанавливает её естественный цвет и блеск, предохраняет от расслоения и ломкости, повышает эластичность.	Биологически активные жирные кислоты касторового масла; очищенная вода; лецитин; СО2 экстракт монарды; селеновит; МСМ; кератин; витамины С (аскорбил пальмитат), А, Е, Д; эфирные масла пихты, лаванды.	15 мл	25	Марианна	152	Для ногтей	Системы и направления/Продукты для красоты/Косметика по уходу за кожей/Для ногтей/
Крем для рук и ногтей «Компромисс», 75 мл	https://argo.pro/catalog/dlya-nogtey/1910499/	152	7.0	Наносить на сухую чистую кожу рук легкими массирующими движениями в течение дня. Для всех типов кожи	Индивидуальная непереносимость ингредиентов.		Крем идеально подходит для кожи, нуждающейся в увлажнении, обладает омолаживающими и очищающими свойствами. Масляный экстракт корня лопуха усиливает капиллярное кровообращение и восстанавливает обмен веществ и рН баланс кожи, обладает противовоспалительным и бактерицидным действием. При регулярном применении является эффективным профилактическим средством от кожных заболеваний, препятствует старению кожи, делая ее гладкой и эластичной.	Вода, масляный экстракт корней лопуха, стеарин, кутина, монтанов, каприлил метикон, метиловый эфир парагидроксибензойной кислоты, пропиловый эфир парагидроксибензойной кислоты, отдушка «черная орхидея».	75 мл.	95	Биолит	152	Для ногтей	Системы и направления/Продукты для красоты/Косметика по уходу за кожей/Для ногтей/
Крем для рук «Живые масла», 75 мл	https://argo.pro/catalog/dlya-ruk/1125586/	153	9.0	Применение: наносить на чистую кожу рук.	Непереносимость компонентов крема.		Эффективное смягчающее и заживляющее средство. Содержит 5 % пантенола, как аптечная мазь, плюс комплекс сильнодействующих природных регенерантов. Быстро заживляет ранки, мозоли, трещины. Избавляет от шелушения и сухости. Разглаживает морщинки. Можно применять для всего тела. Поможет при солнечных ожогах, обветривании, раздражении от агрессивной химии.	Экстракт ромашки водный; масла карите, кунжута; рициниол; глицерин; гидрованс, декспантенол; ланолин; лецитин; пчелиный воск; аллантоин; СО2 экстракт березы; комплекс аминокислот; дегидрацетовая кислота, бензиловый спирт; витамины С, Е, цитраль.	75 мл	90	Марианна	153	Для рук	Системы и направления/Продукты для красоты/Косметика по уходу за кожей/Для рук/
Крем регенерирующий «Хвойный», 100 мл	https://argo.pro/catalog/dlya-ruk/1910502/	153	14.0	Рекомендован как питательный заживляющий крем для тела и рук. Крем можно использовать после бритья, при различных ранах, после солнечных ожогов, для комплексного лечения и профилактики различных кожных заболеваниях (дерматиты, псориаз). Наносить легкими массажными движениями на соответствующие участки кожи 1 -2 раза в день.	Индивидуальная непереносимость.		Проявляет противовоспалительные и ранозаживляющие свойства Оказывает антиоксидантное действие. Смягчает кожу, снимает раздражение, устраняет покраснение и шелушение.  <br />Создан на основе сибирских природных биоактивных компонентов (полипренолы, хвойная хлорофилло-каротионовая паста, СО,-экстракты зверобоя, подорожника, календулы).  <br />Компоненты хвойной хлорофилло-каротионовой пасты защищают кожу от воспалительных процессов, стимулируют процессы регенерации, оказывают сосудоукрепляющее действие, восстанавливают минеральный баланс, обеспечивают отшелушивание ороговевших клеток, заметно улучшают тонус и структуру кожи, позволяя надолго сохранить ее молодость и свежесть.  <br />Полипренолы оказывают выраженное антиоксидантное действие, препятствуя действию свободных радикалов, которые в большом количестве образуются в организме.  <br />Полипренолы стимулируют обменные процессы в коже, ускоряют процессы регенерации, заживляют раны и ожоги различной природы, оказывают противовоспалительное действие. Они устраняют шелушение, покраснение, зуд, смягчают и увлажняют кожу.  <br />СО,-экстракты зверобоя, подорожника, календулы дополняют противовоспалительное, ранозаживляющее действие крема.	Вода, моностеарат глицерина, цетиловый спирт, стеариловый спирт, стеарат диэтиленгликоля, стеарат ПЭГ-400, дипропиленгликоль, полисорбат 20, ПЭГ-40 гидрогенизированное касторовое масло, гидроксипропилгуар, силикат магния., паста хвойная хлорофилло-каротиновая, масло оливковое, изопропилмиристат, гидрированный полиизобутен, сквалан, минеральное масло, полиакриламид/С13-14 изопарафин/лаурет-7, полипренолы, ПЭГ-75 ланолин, СО2-экстракты подорожника, зверобоя, календулы метилпарабен, пропилпарабен.	100 мл.	135	Дон	153	Для рук	Системы и направления/Продукты для красоты/Косметика по уходу за кожей/Для рук/
Гель противовирусный, антибактериальный «Жидкие перчатки» ЛОКС-SILVER, 100 мл	https://argo.pro/catalog/dlya-ruk/2002469/	153	10.0	"Используется как защита для рук от патогенных микроорганизмов.  <br />Способ применения: выдавить на ладонь приблизительно 0,5 мл геля. Быстрыми ""моющими"" движениями распределить гель по рукам и дать высохнуть в течение 1-2 минут. Ваши руки в безопасности на протяжении 4 часов. Для удаления антибактериальных «Жидких перчаток» использовать теплую воду и мыло. Средство наносить на чистые руки!"	Индивидуальная непереносимость компонентов.		- нейтрализует на руках различные вирусы, бактерии, грибки и прочие патогенные микроорганизмы;  <br />- обладает длительным эффектом защиты;  <br />- имеет нейтральный PH;  <br />- дезинфицирует и заживляет раны, порезы и царапины;  <br />-  смягчает кожу рук;  <br />- оказывает пролонгированное действие на коже человека (до 4 часов);  <br />- образовавшаяся пленка не растворяется в холодной воде. <br />-  Средство полностью экологически безопасно, без запаха, не содержит спиртовых и хлорных веществ, раствор негорюч, пожаро- и взрывобезопасен; гипоаллергенен.	Полимерный комплекс борной кислоты, коллоидное серебро 20 PPM, олеиновая кислота, отдушка, дистиллированная вода. Плотность серебра в компоненте: 20 PPM – частицы размером 1–20 нанометров	100 мл. Эквивалент 150 перчаток.	115	Алтом-Консульт	153	Для рук	Системы и направления/Продукты для красоты/Косметика по уходу за кожей/Для рук/
Гель-скраб «Кия» с экстрактом алоэ, 200 г	https://argo.pro/catalog/dlya-tela/6858/	154	12.0		Индивидуальная непереносимость растительных компонентов скраба.	Наносить на влажную кожу тела и втирать мягкими круговыми массирующими движениями. Смыть теплой водой. Применим для любых типов кожи. При нормальном типе кожи применяется 1 раз в неделю, сухом типе 1 раз в 2 недели, при жирной коже 2 раза в неделю.	• восстанавливает минеральный баланс кожи;<br />• способствует восстановлению питательной, защитной функции кожи;<br />• оказывает быстрый пилинговый эффект, качественно очищая кожу;<br />• значительно улучшает местную микроциркуляцию.	Цеолит природный, мыло жидкое косметическое, экстракт алоэ.	200 г	270	Новь	154	Для тела	Системы и направления/Продукты для красоты/Косметика по уходу за кожей/Для тела/
Гель-скраб «Кия» с экстрактом ромашки, 200 г	https://argo.pro/catalog/dlya-tela/6859/	154	12.0		Индивидуальная непереносимость растительных компонентов скраба.	Наносить на влажную кожу тела и втирать мягкими круговыми массирующими движениями. Смыть теплой водой. Применим для любых типов кожи. При нормальном типе кожи применяется 1 раз в неделю, сухом типе 1 раз в 2 недели, при жирной коже 2 раза в неделю.	• восстанавливает минеральный баланс кожи;<br />• способствует восстановлению питательной, защитной функции кожи;<br />• оказывает быстрый пилинговый эффект, качественно очищая кожу;<br />• значительно улучшает местную микроциркуляцию.	Цеолит природный, мыло жидкое косметическое, экстракт ромашки.	200 г	260	Новь	154	Для тела	Системы и направления/Продукты для красоты/Косметика по уходу за кожей/Для тела/
Гель-скраб «Кия» с экстрактом череды, 200 г	https://argo.pro/catalog/dlya-tela/6860/	154	12.0		Индивидуальная непереносимость растительных компонентов скраба.	Наносить на влажную кожу тела и втирать мягкими круговыми массирующими движениями. Смыть теплой водой. Применим для любых типов кожи. При нормальном типе кожи применяется 1 раз в неделю, сухом типе 1 раз в 2 недели, при жирной коже 2 раза в неделю.	• восстанавливает минеральный баланс кожи;<br />• способствует восстановлению питательной, защитной функции кожи;<br />• оказывает быстрый пилинговый эффект, качественно очищая кожу;<br />• значительно улучшает местную микроциркуляцию.	Цеолит природный, мыло жидкое косметическое, экстракт череды.	200 г	265	Новь	154	Для тела	Системы и направления/Продукты для красоты/Косметика по уходу за кожей/Для тела/
Крем детский с календулой «Аргоша», 50 мл	https://argo.pro/catalog/dlya-tela/7107/	154	11.0			Наносить только на очищенную, сухую кожу, на те участки, которые часто потеют или увлажняются.	Очищает кожу, снимает раздражение, подсушивает, успокаивает и защищает детскую кожу от опрелостей. <br />Кедровое масло оказывает смягчающее, противовоспалительное, защитное действие;  <br />эвкалиптовое масло проявляет противомикробное, бактерицидное действие;  <br />масляный экстракт календулы обеспечивает заживление ран (эпителизирующая способность);  <br />витамин Е оказывает антиоксидантное, укрепляющее действие; тальк, оксид цинка проявляют очищающий, подсушивающий эффект;  <br />липокомп, ланолин придают коже эластичность, оказывают смягчающее действие.	Кедровое масло; эвкалиптовое масло; масляный экстракт календулы; витамин Е; тальк, оксид цинка; липокомп, ланолин	50 мл	60	Интеллект-К	154	Для тела	Системы и направления/Продукты для красоты/Косметика по уходу за кожей/Для тела/
Масло противовоспалительное с шиповником «Аргоша», 150 мл	https://argo.pro/catalog/dlya-tela/7108/	154	13.0			Масло использовать для лица и тела. Если кожа ребенка здоровая, надевая ему памперсы, необходимо наносить масло на места кожи, подвергаемые намоканию. Если на коже появились высыпания, требуется специфическая терапия и обязательное использование крема «Аргоша» защищающего. На очищенную кожу наносить масло легкими массажными движениями.<br />Дополнительные сведения: масло «Аргоша» используется для ухода за кожей грудных, маленьких детей и взрослых с чувствительной кожей. Идеальное средство для релаксирующего массажа и водных процедур, а также для смягчения, увлажнения чувствительной кожи лица и тела для детей и взрослых.	Сохраняет кожу ребенка мягкой и увлажненной, предохраняет от опрелостей, придает эластичность. Устраняет раздражения. Используется в качестве массажного масла.  <br />Комплекс масличных экстрактов шиповника, ростков пшеницы, смородины содержит витамины С, группы В, каротиноиды, микроэлементы - Ca, K, фосфор, магний; ускоряет процессы регенерации кожи, совершенствует текстуру тканей;  <br />льняное, кукурузное масла – содержат максимальный процент полиненасыщенных жирных кислот, восполняют потерю утраченных липидов, восстанавливают барьерные функции кожи, активизируют липидный обмен, растворяют жирорастворимые витамины E, F, D, b-каротин, способствуя их усвоению кожей; <br />витамины Е, b-каротин предотвращают окисление липидов кожи; <br />витамин D способствует задержанию кальция в организме; гидровитон смягчает, насыщает кожу влагой.	Комплекс масличных экстрактов шиповника, ростков пшеницы, смородины; льняное, кукурузное масла; витамины Е, b-каротин; витамин D способствует; гидровитон	150 мл	155	Интеллект-К	154	Для тела	Системы и направления/Продукты для красоты/Косметика по уходу за кожей/Для тела/
Молочко бархатистое с маслом моркови «Аргоша», 150 мл	https://argo.pro/catalog/dlya-tela/7109/	154	17.0			После водных процедур наносить молочко на очищенные и сухие участки кожи легкими массажными движениями.<br />Дополнительные сведения: предназначено для грудных, маленьких детей и взрослых с чувствительной кожей лица и тела. Умывать ребенка лучше с помощью молочка. Помните, что ни в коем случае нельзя мыть нежную кожу лица с мылом: щелочная среда, образующаяся на коже, очень благоприятна для всевозможных микробов, вирусов и грибков. Сначала на кожу наносится косметическое молочко, которое затем смывается кипяченой водой комнатной температуры. Молочко с успехом применяется как успокаивающее кожу средство после солнечных процедур и купания в любом возрасте.	Восстанавливает кислотность кожного покрова, очищает его, защищает от инфекций. Устраняет раздражение; питает и смягчает кожу, покрытую диатезом; насыщает кожу влагой.	Экстракты подорожника, петрушки активизируют обменные процессы в клетках кожи, оказывают эпителизирующее действие; масло моркови содержит каротин, проводит антиоксидантное, восстанавливающее действие; витамины А, Е стимулируют дыхание и регенерацию тканей; липидный комплекс липокомп, липофолк, оливковое масло обладает смягчающей и высокой влагоудерживающей способностью; консервант – хлоргексидин биглюконат – препарат, применяемый в стоматологической практике для орошения зубного поля, обеспечивает антисептический, бактерицидный эффект.	150 мл	170	Интеллект-К	154	Для тела	Системы и направления/Продукты для красоты/Косметика по уходу за кожей/Для тела/
Крем усиливающий пигментацию «Витасан», 100 мл	https://argo.pro/catalog/dlya-tela/7123/	154	30.0	- крем рекомендован для людей, страдающих витилиго, для выравнивания цвета кожи; <br /> <br />- применяется как средство для получения ровного и красивого загара; <br /> <br />- используется при различных воспалительных процессах на коже, в том числе аллергического характера (гнойничковом поражении кожи, дерматозе, нейродермите); <br /> <br />- показан для заживления ран, трофических язв.	Индивидуальная повышенная чувствительность к компонентам крема.	Рекомендуется комплексный подход к решению проблемы: местное воздействие на очаги витилиго кремом «Витасан», приём внутрь меди и цинка в составе поливитаминного комплекса, лечение сопутствующих хронических заболеваний. <br />Крем наносить на очаги витилиго: ежедневно 2 раза в день, а также перед принятием солнечных ванн, в течение не менее 3 месяцев. <br />Для достижения лучшего эффекта следует проводить ультрафонофорез аппаратом АУТн­01 «Ретон» с кремом «Витасан», по лабильной методике, со скоростью 1-2 см/с, общее время воздействия 10-15 мин, количество процедур 10-15. <br />Ведущим показателем при оценке динамики процесса является восстановление пигмента в очагах поражения.<br />Восстановление пигмента проходит по следующим типам:<br />• пигмент восстанавливается с устьев волосяных фолликулов;<br />• чёткие границы очагов витилиго становятся нечёткими, размытыми;<br />• происходит «наплыв» пигментации на очаг со стороны здоровой кожи (чаще всего «наплыв» движется сверху вниз); <br />• появляется сетчатоподобная пигментация в очагах поражения или кожа окрашивается в цвет «чая с молоком».<br />Отмечено, что восстановление пигмента быстрее происходит в участках с наименьшей давностью заболевания. Темпы нарастания положительного эффекта индивидуальны, а сроки восстановления зависят от давности заболевания, распространённости процесса, величины пятен.<br />Чаще начало восстановления наблюдается на лице: веках, носогубном треугольнике, а также на тыле кистей, передней поверхности голеней, т. е. на открытых участках тела.	- Крем обладает фотосенсибилизирующим действием: повышает образование кожного пигмента под действием солнечного света, поэтому эффективен, как средство для получения более интенсивного, красивого и ровного загара;  <br />- проявляет антиоксидантное действие: замедляет процессы разрушения меланоцитов;  <br />- способствует образованию меланоцитов, содержащих пигмент;  <br />- улучшает капиллярное кровообращение, кислородное питание и обменные процессы клеток кожи;  <br />- обладает противовоспалительными, антисептическими и противоаллергическими свойствами;  <br />- повышает местный (клеточный) иммунитет кожи (иммуномодулирующее действие);  <br />- способствует скорейшему заживлению ран, трофических язв;  <br />- ухаживает за кожей, смягчая, питая и увлажняя её, делая нежной и бархатистой.  Экстракт зверобоя. Благодаря биоактивным веществам (из группы фурокумаринов), в меланоцитах повышается выработка пигмента. В креме используется максимальная концентрация данных веществ благодаря технологии СО2-экстракции. Кроме того, экстракт зверобоя обладает выраженными противовоспалительными, антисептическими и ранозаживляющими свойствами.  <br />Пихтовое масло улучшает сосудистое кровообращение, а следовательно, и восстановление меланоцитов. Широко используется при различных воспалительных процессах (гнойничковом поражении, нейродермите, псориазе и т.д.). Повышает местный клеточный иммунитет кожи, что немаловажно при любых кожных заболеваниях, особенно при витилиго.  <br />Кедровое масло тормозит разрушение клеток, содержащих пигмент меланин, а также обладает прекрасным увлажняющим, противовоспалительным и противоаллергическим действием. Благодаря высокому содержанию токоферола (витамина Е), кедровое масло защищает клетки кожи от вредного воздействия окружающей среды, в частности, от вредного солнечного излучения.  <br />Экстракт грецкого ореха обладает прекрасным противовоспалительным и антисептическим действием.  <br />Экстракты календулы и череды – это традиционные средства в составе сборов при витилиго. Кроме того, останавливают различные воспалительные процессы, способствуют заживлению ран и трофических язв, уменьшают явления аллергии.	Вода дистиллированная, масло пихты сибирской, воск эмульсионный, глицерин, стеарин косметический, моностеарат глицерина, ланолин оксиэтилированный, масло вазелиновое, масло кедрового ореха, метилпарабен, пропилпарабен, СО2 - экстракты зверобоя, грецкого ореха, календулы, череды.	100 мл	135	Дон	154	Для тела	Системы и направления/Продукты для красоты/Косметика по уходу за кожей/Для тела/
